config_id,period,active_periods,positive_rate,mean_return,median_return,compounded_return,best_period,worst_period
a565c95ea659ad,daily,297,0.03367003367003367,0.0001400507811534209,0.0,0.04115237664576177,0.022345641245635983,-0.015426772365057961
a565c95ea659ad,weekly,43,0.23255813953488372,0.0009614414973888286,0.0,0.041152376645761546,0.022345641245635983,-0.014018624740892882
a565c95ea659ad,monthly,10,0.8,0.004074232352217511,0.004214669894211709,0.04115237664576199,0.01834908700972182,-0.011434133913669098
c375850268f7ce,daily,316,0.0379746835443038,7.399126279584245e-05,0.0,0.023063708831345453,0.010483390105234358,-0.02158571998086678
c375850268f7ce,weekly,46,0.21739130434782608,0.0005084946676083907,0.0,0.023063708831345453,0.011587032901793304,-0.02158571998086678
c375850268f7ce,monthly,11,0.45454545454545453,0.002136406252019274,0.0,0.02306370883134523,0.023513565817518067,-0.02158571998086678
0ddaafafb62640,daily,321,0.04361370716510903,0.00011858427189795412,0.0,0.03775759568725223,0.015949720471668982,-0.013722430574869326
0ddaafafb62640,weekly,47,0.2127659574468085,0.0008143783633641813,0.0,0.03775759568725201,0.018750049518423628,-0.016678018444748477
0ddaafafb62640,monthly,11,0.45454545454545453,0.0034364843526117806,0.0,0.03775759568725223,0.01894708764869879,-0.012788996216970494
7b12bcd0e19b02,daily,331,0.04833836858006042,0.00016510450194981758,0.0,0.053991037933911246,0.022345641245635983,-0.015426772365057961
7b12bcd0e19b02,weekly,48,0.2916666666666667,0.001122275328004611,0.0,0.053991037933911246,0.022345641245635983,-0.014145639674456367
7b12bcd0e19b02,monthly,12,0.6666666666666666,0.004439576548699077,0.003746445071532878,0.053991037933911246,0.022665952128114952,-0.012602692464131371
ba0c5d34a6d53f,daily,321,0.037383177570093455,9.275737277388021e-05,0.0,0.029218752096448197,0.015949720471668982,-0.013722430574869326
ba0c5d34a6d53f,weekly,47,0.2127659574468085,0.0006367147443722533,0.0,0.029218752096448197,0.018750049518423628,-0.016678018444748477
ba0c5d34a6d53f,monthly,11,0.45454545454545453,0.0026803165175354397,0.0,0.029218752096448197,0.01894708764869879,-0.012788996216970494
78293b292523ea,daily,331,0.045317220543806644,0.00010833729720416407,0.0,0.03410076775115867,0.022345641245635983,-0.018426333184215604
78293b292523ea,weekly,48,0.2708333333333333,0.0007386687360048753,0.0,0.03410076775115889,0.022345641245635983,-0.018426333184215604
78293b292523ea,monthly,12,0.5833333333333334,0.0029821780288656896,0.0037643669313890404,0.03410076775115911,0.03896267566918077,-0.04650909083319266
fb584438b4e117,daily,317,0.03785488958990536,4.302948443815055e-05,0.0,0.013052746637797208,0.010483390105234358,-0.01820414665072234
fb584438b4e117,weekly,46,0.17391304347826086,0.00029333483831773665,0.0,0.013052746637797208,0.011587032901793304,-0.01820414665072234
fb584438b4e117,monthly,11,0.36363636363636365,0.0012151692439089342,0.0,0.01305274663779743,0.01261084732982809,-0.01820414665072234
90560d58111e56,daily,320,0.0375,9.85108980847249e-05,0.0,0.030733938108200576,0.015949720471668982,-0.013722430574869326
90560d58111e56,weekly,47,0.2127659574468085,0.0006738424372311014,0.0,0.030733938108200798,0.02585754310724875,-0.016678018444748477
90560d58111e56,monthly,11,0.5454545454545454,0.0028301606846183377,0.0012278109008556637,0.030733938108201242,0.02602498345018156,-0.016868059222801213
6afb52531f2875,daily,336,0.023809523809523808,1.4307923180399299e-05,0.0,0.004773621678428874,0.004337536028979905,-0.00514934545884016
6afb52531f2875,weekly,49,0.14285714285714285,9.819318801535085e-05,0.0,0.004773621678429096,0.004337536028979905,-0.00514934545884016
6afb52531f2875,monthly,12,0.3333333333333333,0.0004023134386925235,0.0,0.004773621678428874,0.007106728476928392,-0.00514934545884016
0c27ea5e60af99,daily,336,0.023809523809523808,1.4307923180399299e-05,0.0,0.004773621678428874,0.004337536028979905,-0.00514934545884016
0c27ea5e60af99,weekly,49,0.14285714285714285,9.819318801535085e-05,0.0,0.004773621678429096,0.004337536028979905,-0.00514934545884016
0c27ea5e60af99,monthly,12,0.3333333333333333,0.0004023134386925235,0.0,0.004773621678428874,0.007106728476928392,-0.00514934545884016
7de4db9c2df145,daily,332,0.05120481927710843,0.0001084420374869039,0.0,0.03374181149090849,0.032267378369577715,-0.017180008853519335
7de4db9c2df145,weekly,48,0.2708333333333333,0.000732605925791612,0.0,0.03374181149090871,0.032267378369577715,-0.01856999385039959
7de4db9c2df145,monthly,11,0.5454545454545454,0.0031631680598577035,0.005660574308846478,0.03374181149090871,0.031188097804129455,-0.025055856496447038
0011595a7d28ef,daily,302,0.09933774834437085,2.993659711947978e-05,0.0,0.007004464599215998,0.01596510802950224,-0.024949524184211924
0011595a7d28ef,weekly,44,0.4090909090909091,0.00020473801842071926,0.0,0.007004464599215332,0.016538039285620698,-0.024949524184211924
0011595a7d28ef,monthly,10,0.5,0.0008689835454658401,0.0002763645685076588,0.007004464599215332,0.031131652215194983,-0.024949524184211924
d3c6e0ebd1039b,daily,279,0.04659498207885305,2.496748508073702e-05,0.0,0.006602937698226841,0.0077449951376682424,-0.01568841310166691
d3c6e0ebd1039b,weekly,40,0.25,0.00017175992392725047,0.0,0.006602937698226841,0.0077449951376682424,-0.01568841310166691
d3c6e0ebd1039b,monthly,10,0.6,0.0007138797112401618,0.002340829881929074,0.006602937698227285,0.020840249123514676,-0.022637597541428134
e6da9b503cc726,daily,325,0.08307692307692308,3.0611918967137306e-05,0.0,0.009497504981842875,0.011055098508962358,-0.010115585630482427
e6da9b503cc726,weekly,48,0.2708333333333333,0.00020529767450791955,0.0,0.00949750498184243,0.012818570961641962,-0.010115585630482427
