config_id,trades,trade_win_rate,profit_factor,mean_return,total_return,max_drawdown,active_days,positive_active_day_rate,calendar_days_covered,positive_calendar_day_rate,active_weeks,positive_active_week_rate,active_months,positive_active_month_rate,first_exit,last_exit
0011595a7d28ef,171,0.7953216374269005,1.2668914066770969,0.0009965376677326444,0.1731521083004841,-0.09259342799888759,166,0.7891566265060241,2311,0.05668541756815231,120,0.7583333333333333,63,0.6666666666666666,2020-03-03T15:00:00+00:00,2026-06-30T05:00:00+00:00
0c27ea5e60af99,127,0.6614173228346457,0.5765322789078583,-0.0012616595309598824,-0.15068803386616814,-0.17577759827741768,124,0.6532258064516129,2375,0.034105263157894736,109,0.6146788990825688,64,0.484375,2020-01-09T02:00:00+00:00,2026-07-10T20:00:00+00:00
0ddaafafb62640,247,0.4574898785425101,0.9582268478605465,-0.00022778077959921466,-0.07298569550258238,-0.3086710295853726,241,0.46473029045643155,2374,0.04717775905644482,158,0.47468354430379744,74,0.5135135135135135,2020-01-06T23:30:00+00:00,2026-07-06T03:30:00+00:00
4da361215162fa,253,0.5810276679841897,1.1106922408182782,0.00048710088997423165,0.10403287755161439,-0.19414854116061375,225,0.5555555555555556,2340,0.053418803418803416,163,0.5337423312883436,72,0.5277777777777778,2020-02-20T14:30:00+00:00,2026-07-17T15:15:00+00:00
6afb52531f2875,127,0.6614173228346457,0.5765322789078583,-0.0012616595309598824,-0.15068803386616814,-0.17577759827741768,124,0.6532258064516129,2375,0.034105263157894736,109,0.6146788990825688,64,0.484375,2020-01-09T02:00:00+00:00,2026-07-10T20:00:00+00:00
78293b292523ea,186,0.4946236559139785,1.1961559245602287,0.0013499856298433857,0.25190009345164466,-0.1751936320403671,184,0.4891304347826087,2349,0.038314176245210725,146,0.5136986301369864,75,0.49333333333333335,2020-02-10T07:00:00+00:00,2026-07-16T15:00:00+00:00
7b12bcd0e19b02,172,0.45930232558139533,1.1837056054979722,0.001122673390784593,0.18809573892171216,-0.13850075561536213,171,0.4619883040935672,2349,0.033631332481907195,139,0.49640287769784175,74,0.5,2020-02-10T07:00:00+00:00,2026-07-16T15:00:00+00:00
7de4db9c2df145,218,0.4908256880733945,1.169950280994665,0.0008465699574929271,0.17424008363327137,-0.10058991562407393,201,0.48756218905472637,2381,0.04115917681646367,152,0.5,73,0.5068493150684932,2020-01-10T11:15:00+00:00,2026-07-17T17:00:00+00:00
8f83507b062623,153,0.7058823529411765,1.5407318601646085,0.001921955825726946,0.3289143946595654,-0.056462244564074004,147,0.7006802721088435,2306,0.04466608846487424,126,0.6666666666666666,65,0.6153846153846154,2020-03-04T15:15:00+00:00,2026-06-26T06:45:00+00:00
90560d58111e56,223,0.4304932735426009,0.9365240642786453,-0.0003888751507477383,-0.10126665753775055,-0.3120511587422977,216,0.4351851851851852,2374,0.039595619208087615,150,0.46,73,0.5068493150684932,2020-01-06T23:30:00+00:00,2026-07-06T03:30:00+00:00
a565c95ea659ad,131,0.5190839694656488,1.2637456373040683,0.001752910598233835,0.2361603324114454,-0.15254086620805485,131,0.5190839694656488,2349,0.02894848871860366,110,0.5636363636363636,64,0.578125,2020-02-10T07:00:00+00:00,2026-07-16T15:00:00+00:00
ba0c5d34a6d53f,226,0.4557522123893805,0.9524591568359717,-0.00026053495122324723,-0.07396478553859376,-0.29300034416252985,221,0.46153846153846156,2374,0.04296545914069082,152,0.46710526315789475,73,0.4931506849315068,2020-01-06T23:30:00+00:00,2026-07-06T03:30:00+00:00
c375850268f7ce,153,0.6013071895424836,0.9709915075937944,-0.000145679492417486,-0.03437411685104763,-0.15002150273076642,140,0.6,2359,0.03560830860534125,110,0.6181818181818182,69,0.5217391304347826,2020-01-27T12:00:00+00:00,2026-07-12T07:00:00+00:00
d3c6e0ebd1039b,169,0.6331360946745562,0.8743237420741554,-0.0004149082674703473,-0.07170522158526804,-0.09092291940168407,158,0.620253164556962,2365,0.04143763213530655,121,0.5454545454545454,63,0.49206349206349204,2020-01-14T10:00:00+00:00,2026-07-05T22:45:00+00:00
d9543227804c56,186,0.6881720430107527,1.0683185669638915,0.0002514660586021741,0.04020391764082265,-0.09426470736670389,174,0.6781609195402298,2362,0.04995766299745978,140,0.6214285714285714,74,0.5405405405405406,2020-01-25T00:45:00+00:00,2026-07-13T19:00:00+00:00
dd7ee8d88411b3,302,0.5,1.1134703500839753,0.0005213925202217703,0.14105833842924143,-0.17235727301505255,265,0.5018867924528302,2340,0.05683760683760684,192,0.5104166666666666,75,0.4666666666666667,2020-02-20T14:30:00+00:00,2026-07-17T16:30:00+00:00
ddb19fd0a68846,386,0.8290155440414507,0.9689363671497987,-0.0001740755596848085,-0.11950432001499978,-0.28632639525954817,268,0.7574626865671642,2368,0.08572635135135136,170,0.6588235294117647,75,0.5066666666666667,2020-01-23T23:00:00+00:00,2026-07-17T14:00:00+00:00
e6da9b503cc726,412,0.6529126213592233,0.8224962685180546,-0.0005123776924919509,-0.19700243921207605,-0.21505544647349772,347,0.6195965417867435,2390,0.0899581589958159,213,0.5305164319248826,76,0.4605263157894737,2020-01-03T17:45:00+00:00,2026-07-19T14:55:00+00:00
e81496e0c4a377,439,0.48519362186788156,1.2040252315967952,0.00121464962935206,0.6074740301707273,-0.15546371650932134,371,0.48517520215633425,2378,0.07569386038687972,217,0.47465437788018433,77,0.5454545454545454,2020-01-11T22:00:00+00:00,2026-07-15T19:00:00+00:00
fb584438b4e117,152,0.6381578947368421,0.9726827964675147,-0.0001544027411233718,-0.03703829756159427,-0.12271451073393103,139,0.6187050359712231,2359,0.03645612547689699,109,0.5963302752293578,69,0.5362318840579711,2020-01-27T12:00:00+00:00,2026-07-12T07:00:00+00:00
