symbol,timeframe,round,best_pre_score,trials_cumulative,improvement,new_trials
BTCUSDT,5m,1,-0.2742519312023189,360,,
BTCUSDT,5m,2,-0.1710223084275747,502,0.10322962277474418,142.0
BTCUSDT,5m,3,0.43232550270547626,641,0.603347811133051,139.0
BTCUSDT,5m,4,0.469604214504773,781,0.03727871179929676,140.0
BTCUSDT,15m,1,-0.22938427735026484,1141,,
BTCUSDT,15m,2,0.32664731109582185,1281,0.5560315884460867,140.0
BTCUSDT,15m,3,0.5980707067986737,1422,0.27142339570285184,141.0
BTCUSDT,15m,4,0.6087724892173156,1559,0.010701782418641947,137.0
BTCUSDT,30m,1,0.05113376589637314,1919,,
BTCUSDT,30m,2,0.3231683007353282,2060,0.27203453483895507,141.0
BTCUSDT,30m,3,0.415011621551014,2203,0.0918433208156858,143.0
BTCUSDT,30m,4,0.4545340829581664,2345,0.039522461407152376,142.0
BTCUSDT,60m,1,0.33576627218390437,2705,,
BTCUSDT,60m,2,0.43797877241980715,2844,0.10221250023590278,139.0
BTCUSDT,60m,3,0.4547459112835107,2987,0.016767138863703568,143.0
BTCUSDT,60m,4,0.48198513695914635,3128,0.027239225675635637,141.0
ETHUSDT,5m,1,-0.2488066272023643,3488,,
ETHUSDT,5m,2,-0.15660976627842121,3628,0.09219686092394308,140.0
ETHUSDT,5m,3,0.12958754995054683,3763,0.28619731622896805,135.0
ETHUSDT,5m,4,0.12958754995054683,3901,0.0,138.0
ETHUSDT,15m,1,-0.15055510914853187,4261,,
ETHUSDT,15m,2,0.3457281173297687,4405,0.4962832264783006,144.0
ETHUSDT,15m,3,0.43345478130158704,4546,0.08772666397181833,141.0
ETHUSDT,15m,4,0.6118461538461538,4686,0.17839137254456677,140.0
ETHUSDT,30m,1,0.6535876288659793,5046,,
ETHUSDT,30m,2,0.6535876288659793,5189,0.0,143.0
ETHUSDT,30m,3,0.6535876288659793,5324,0.0,135.0
ETHUSDT,60m,1,0.4747486797873677,5684,,
ETHUSDT,60m,2,0.588206581200265,5828,0.11345790141289736,144.0
ETHUSDT,60m,3,0.6172335037552519,5967,0.029026922554986845,139.0
ETHUSDT,60m,4,0.6184750999694356,6104,0.0012415962141837378,137.0
