ensemble_id,size,positive_active_day_rate,positive_calendar_day_rate,active_days,total_return,max_dd,daily_sharpe,members
c375850268f7ce+0011595a7d28ef,2,0.75,0.11239193083573487,52,0.01569312426270919,-0.03713321467424824,0.47679235444229634,"[""c375850268f7ce"", ""0011595a7d28ef""]"
0011595a7d28ef+d3c6e0ebd1039b,2,0.75,0.12103746397694524,56,0.007422797250594915,-0.03530944980472195,0.23654299284013175,"[""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
0011595a7d28ef+e6da9b503cc726,2,0.7432432432432432,0.1585014409221902,74,0.008898992911015702,-0.027557030829891915,0.2765118933866955,"[""0011595a7d28ef"", ""e6da9b503cc726""]"
fb584438b4e117+0011595a7d28ef+d3c6e0ebd1039b,3,0.7391304347826086,0.14697406340057637,69,0.009596422029595875,-0.03052462607863682,0.39511527511517724,"[""fb584438b4e117"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
c375850268f7ce+6afb52531f2875+0011595a7d28ef,3,0.7377049180327869,0.12968299711815562,61,0.012191317905209553,-0.025738649160468086,0.5325805820428154,"[""c375850268f7ce"", ""6afb52531f2875"", ""0011595a7d28ef""]"
c375850268f7ce+0c27ea5e60af99+0011595a7d28ef,3,0.7377049180327869,0.12968299711815562,61,0.012191317905209553,-0.025738649160468086,0.5325805820428154,"[""c375850268f7ce"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
fb584438b4e117+0011595a7d28ef,2,0.7358490566037735,0.11239193083573487,53,0.010743331878883433,-0.03222708974348043,0.3296907102794775,"[""fb584438b4e117"", ""0011595a7d28ef""]"
c375850268f7ce+0011595a7d28ef+d3c6e0ebd1039b,3,0.7352941176470589,0.1440922190201729,68,0.012889070359697552,-0.03379550977782708,0.5323728345300508,"[""c375850268f7ce"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
6afb52531f2875+0011595a7d28ef+d3c6e0ebd1039b,3,0.734375,0.13544668587896252,64,0.006683588075774072,-0.024513953345268957,0.3037543682396905,"[""6afb52531f2875"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
0c27ea5e60af99+0011595a7d28ef+d3c6e0ebd1039b,3,0.734375,0.13544668587896252,64,0.006683588075774072,-0.024513953345268957,0.3037543682396905,"[""0c27ea5e60af99"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
c375850268f7ce+0011595a7d28ef+e6da9b503cc726,3,0.7261904761904762,0.17579250720461095,84,0.013884919732016554,-0.02863453455004028,0.5667799192462968,"[""c375850268f7ce"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
0ddaafafb62640+fb584438b4e117+0011595a7d28ef,3,0.726027397260274,0.15273775216138327,73,0.020021459900679828,-0.017528981884951,0.7302459886463393,"[""0ddaafafb62640"", ""fb584438b4e117"", ""0011595a7d28ef""]"
fb584438b4e117+6afb52531f2875+0011595a7d28ef,3,0.7258064516129032,0.12968299711815562,62,0.00890346995659752,-0.022438037138947986,0.38880676517101287,"[""fb584438b4e117"", ""6afb52531f2875"", ""0011595a7d28ef""]"
fb584438b4e117+0c27ea5e60af99+0011595a7d28ef,3,0.7258064516129032,0.12968299711815562,62,0.00890346995659752,-0.022438037138947986,0.38880676517101287,"[""fb584438b4e117"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
c375850268f7ce+0ddaafafb62640+0011595a7d28ef,3,0.7222222222222222,0.14985590778097982,72,0.02335839122834482,-0.018643175463550654,0.8672683873320602,"[""c375850268f7ce"", ""0ddaafafb62640"", ""0011595a7d28ef""]"
6afb52531f2875+0011595a7d28ef+e6da9b503cc726,3,0.7215189873417721,0.1642651296829971,79,0.007671135421240427,-0.01929985936937062,0.34138333794710546,"[""6afb52531f2875"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
0c27ea5e60af99+0011595a7d28ef+e6da9b503cc726,3,0.7215189873417721,0.1642651296829971,79,0.007671135421240427,-0.01929985936937062,0.34138333794710546,"[""0c27ea5e60af99"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
c375850268f7ce+e6da9b503cc726,2,0.72,0.1037463976945245,50,0.016541220385298372,-0.026914299212270065,0.7758618250008816,"[""c375850268f7ce"", ""e6da9b503cc726""]"
ba0c5d34a6d53f+fb584438b4e117+0011595a7d28ef,3,0.7183098591549296,0.14697406340057637,71,0.017209745073054394,-0.017528981884951,0.6328240178176718,"[""ba0c5d34a6d53f"", ""fb584438b4e117"", ""0011595a7d28ef""]"
fb584438b4e117+0011595a7d28ef+e6da9b503cc726,3,0.7176470588235294,0.17579250720461095,85,0.010597180173538279,-0.02534373323703465,0.435712707069658,"[""fb584438b4e117"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
a565c95ea659ad+0011595a7d28ef,2,0.7142857142857143,0.11527377521613832,56,0.024789805324960668,-0.03008359455336329,0.6493892324985279,"[""a565c95ea659ad"", ""0011595a7d28ef""]"
c375850268f7ce+ba0c5d34a6d53f+0011595a7d28ef,3,0.7142857142857143,0.1440922190201729,70,0.020537478065526527,-0.018643175463550987,0.7680849699470503,"[""c375850268f7ce"", ""ba0c5d34a6d53f"", ""0011595a7d28ef""]"
a565c95ea659ad+0011595a7d28ef+d3c6e0ebd1039b,3,0.7123287671232876,0.14985590778097982,73,0.0189671940370284,-0.02909627445998164,0.6896322920589064,"[""a565c95ea659ad"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
a565c95ea659ad+0011595a7d28ef+e6da9b503cc726,3,0.7111111111111111,0.1844380403458213,90,0.01997006511416788,-0.02390518558966337,0.7214169639625881,"[""a565c95ea659ad"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
a565c95ea659ad+c375850268f7ce+0011595a7d28ef,3,0.7101449275362319,0.14121037463976946,69,0.024543510569661864,-0.03031521729746034,0.8844335222630437,"[""a565c95ea659ad"", ""c375850268f7ce"", ""0011595a7d28ef""]"
a565c95ea659ad+6afb52531f2875+0011595a7d28ef,3,0.7076923076923077,0.13256484149855907,65,0.018268931560098345,-0.020996693223749308,0.6981257656094104,"[""a565c95ea659ad"", ""6afb52531f2875"", ""0011595a7d28ef""]"
a565c95ea659ad+0c27ea5e60af99+0011595a7d28ef,3,0.7076923076923077,0.13256484149855907,65,0.018268931560098345,-0.020996693223749308,0.6981257656094104,"[""a565c95ea659ad"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
fb584438b4e117+e6da9b503cc726,2,0.7058823529411765,0.1037463976945245,51,0.011591537506006722,-0.02270008857143302,0.5370672108746604,"[""fb584438b4e117"", ""e6da9b503cc726""]"
c375850268f7ce+6afb52531f2875+e6da9b503cc726,3,0.7017543859649122,0.11527377521613832,57,0.012671669751564307,-0.01745146702363798,0.8536331372546211,"[""c375850268f7ce"", ""6afb52531f2875"", ""e6da9b503cc726""]"
c375850268f7ce+0c27ea5e60af99+e6da9b503cc726,3,0.7017543859649122,0.11527377521613832,57,0.012671669751564307,-0.01745146702363798,0.8536331372546211,"[""c375850268f7ce"", ""0c27ea5e60af99"", ""e6da9b503cc726""]"
a565c95ea659ad+fb584438b4e117+0011595a7d28ef,3,0.7,0.14121037463976946,70,0.021215539641732395,-0.0270301098177117,0.7619566825654149,"[""a565c95ea659ad"", ""fb584438b4e117"", ""0011595a7d28ef""]"
0ddaafafb62640+0011595a7d28ef,2,0.6984126984126984,0.12680115273775217,63,0.02305066962607083,-0.02679397165204689,0.6347067244362775,"[""0ddaafafb62640"", ""0011595a7d28ef""]"
0ddaafafb62640+fb584438b4e117+e6da9b503cc726,3,0.6923076923076923,0.12968299711815562,65,0.020516798765956912,-0.012782454410187105,0.9802140383390003,"[""0ddaafafb62640"", ""fb584438b4e117"", ""e6da9b503cc726""]"
0ddaafafb62640+0011595a7d28ef+e6da9b503cc726,3,0.6923076923076923,0.18155619596541786,91,0.018811508972975677,-0.015140520082029929,0.7141933562909116,"[""0ddaafafb62640"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
0ddaafafb62640+6afb52531f2875+0011595a7d28ef,3,0.6901408450704225,0.14121037463976946,71,0.017100287182611362,-0.018266671261461198,0.6796723869477961,"[""0ddaafafb62640"", ""6afb52531f2875"", ""0011595a7d28ef""]"
0ddaafafb62640+0c27ea5e60af99+0011595a7d28ef,3,0.6901408450704225,0.14121037463976946,71,0.017100287182611362,-0.018266671261461198,0.6796723869477961,"[""0ddaafafb62640"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
fb584438b4e117+6afb52531f2875+e6da9b503cc726,3,0.6896551724137931,0.11527377521613832,58,0.009384130415587943,-0.014621905371548838,0.6231408239084836,"[""fb584438b4e117"", ""6afb52531f2875"", ""e6da9b503cc726""]"
fb584438b4e117+0c27ea5e60af99+e6da9b503cc726,3,0.6896551724137931,0.11527377521613832,58,0.009384130415587943,-0.014621905371548838,0.6231408239084836,"[""fb584438b4e117"", ""0c27ea5e60af99"", ""e6da9b503cc726""]"
0ddaafafb62640+0011595a7d28ef+d3c6e0ebd1039b,3,0.6891891891891891,0.14697406340057637,74,0.01777228986006163,-0.018134361663633358,0.6498882742984902,"[""0ddaafafb62640"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
ba0c5d34a6d53f+0011595a7d28ef,2,0.6885245901639344,0.12103746397694524,61,0.018825887301231914,-0.027183478441120346,0.5253604586291969,"[""ba0c5d34a6d53f"", ""0011595a7d28ef""]"
c375850268f7ce+0ddaafafb62640+e6da9b503cc726,3,0.6875,0.12680115273775217,64,0.02385343796038142,-0.013530774275275825,1.1783773399240913,"[""c375850268f7ce"", ""0ddaafafb62640"", ""e6da9b503cc726""]"
78293b292523ea+0011595a7d28ef+e6da9b503cc726,3,0.6868686868686869,0.19596541786743515,99,0.017877176433696906,-0.03552768255816885,0.5646477582729356,"[""78293b292523ea"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
a565c95ea659ad+fb584438b4e117+d3c6e0ebd1039b,3,0.6862745098039216,0.10086455331412104,51,0.020687718635762575,-0.02361223552736258,0.9597488709926745,"[""a565c95ea659ad"", ""fb584438b4e117"", ""d3c6e0ebd1039b""]"
ba0c5d34a6d53f+0011595a7d28ef+e6da9b503cc726,3,0.6853932584269663,0.17579250720461095,89,0.01600312940553672,-0.01540333571528918,0.6128438521115321,"[""ba0c5d34a6d53f"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
