config_id,segment,cost_case,trades,trade_win_rate,profit_factor,mean_return,total_return,max_drawdown,active_days,positive_active_day_rate,calendar_days_covered,positive_calendar_day_rate,active_weeks,positive_active_week_rate,active_months,positive_active_month_rate,first_exit,last_exit
0011595a7d28ef,full,base,171,0.7953216374269005,1.2668914066770969,0.0009965376677326444,0.1731521083004841,-0.09259342799888759,166,0.7891566265060241,2311,0.05668541756815231,120,0.7583333333333333,63,0.6666666666666666,2020-03-03T15:00:00+00:00,2026-06-30T05:00:00+00:00
0011595a7d28ef,pre,base,131,0.8015267175572519,1.3339313709348515,0.0012318857721281859,0.16499196333493393,-0.09259342799888759,127,0.7952755905511811,1940,0.052061855670103095,94,0.776595744680851,53,0.6981132075471698,2020-03-03T15:00:00+00:00,2025-06-24T09:00:00+00:00
0011595a7d28ef,oos,base,40,0.775,1.0581784762648276,0.0002257726258372464,0.007004464599215998,-0.04354024628862252,39,0.7692307692307693,302,0.09933774834437085,26,0.6923076923076923,10,0.5,2025-09-02T13:00:00+00:00,2026-06-30T05:00:00+00:00
0011595a7d28ef,oos,stress,40,0.75,0.7656909099829843,-0.0009742273741627533,-0.040212024692760084,-0.056459138207758386,39,0.7435897435897436,302,0.09602649006622517,26,0.6538461538461539,10,0.5,2025-09-02T13:00:00+00:00,2026-06-30T05:00:00+00:00
0c27ea5e60af99,full,base,127,0.6614173228346457,0.5765322789078583,-0.0012616595309598824,-0.15068803386616814,-0.17577759827741768,124,0.6532258064516129,2375,0.034105263157894736,109,0.6146788990825688,64,0.484375,2020-01-09T02:00:00+00:00,2026-07-10T20:00:00+00:00
0c27ea5e60af99,pre,base,114,0.6491228070175439,0.5467622084300746,-0.001455651878333495,-0.15548645166742048,-0.17577759827741768,112,0.6428571428571429,1999,0.03601800900450225,98,0.6020408163265306,56,0.4642857142857143,2020-01-09T02:00:00+00:00,2025-06-29T07:00:00+00:00
0c27ea5e60af99,oos,base,13,0.7692307692307693,1.466528887887364,0.0004395041306241069,0.005681871902145863,-0.003774953796615743,12,0.75,349,0.025787965616045846,11,0.7272727272727273,8,0.625,2025-07-27T10:45:00+00:00,2026-07-10T20:00:00+00:00
0c27ea5e60af99,oos,stress,13,0.5384615384615384,0.42610014881769553,-0.0007604958693758929,-0.009887619774275103,-0.005071173934108608,12,0.5833333333333334,349,0.02005730659025788,11,0.5454545454545454,8,0.5,2025-07-27T10:45:00+00:00,2026-07-10T20:00:00+00:00
0ddaafafb62640,full,base,247,0.4574898785425101,0.9582268478605465,-0.00022778077959921466,-0.07298569550258238,-0.3086710295853726,241,0.46473029045643155,2374,0.04717775905644482,158,0.47468354430379744,74,0.5135135135135135,2020-01-06T23:30:00+00:00,2026-07-06T03:30:00+00:00
0ddaafafb62640,pre,base,221,0.4434389140271493,0.931218435998978,-0.00039299037413354735,-0.1000031667654887,-0.3086710295853726,216,0.4537037037037037,2017,0.04858701041150223,138,0.47101449275362317,63,0.5238095238095238,2020-01-06T23:30:00+00:00,2025-07-14T04:00:00+00:00
0ddaafafb62640,oos,base,26,0.5769230769230769,1.3635633225385715,0.0011765007739426149,0.030019518141866985,-0.03846505096892383,25,0.56,335,0.041791044776119404,20,0.5,11,0.45454545454545453,2025-08-06T22:00:00+00:00,2026-07-06T03:30:00+00:00
0ddaafafb62640,oos,stress,26,0.46153846153846156,0.9938464577773904,-2.3499226057384895e-05,-0.0016053709619483492,-0.05226541043451005,25,0.44,335,0.03283582089552239,20,0.45,11,0.45454545454545453,2025-08-06T22:00:00+00:00,2026-07-06T03:30:00+00:00
4da361215162fa,full,base,253,0.5810276679841897,1.1106922408182782,0.00048710088997423165,0.10403287755161439,-0.19414854116061375,225,0.5555555555555556,2340,0.053418803418803416,163,0.5337423312883436,72,0.5277777777777778,2020-02-20T14:30:00+00:00,2026-07-17T15:15:00+00:00
4da361215162fa,pre,base,202,0.5792079207920792,1.098576456063027,0.0004545965430157474,0.07184355355282412,-0.19414854116061375,183,0.5628415300546448,1946,0.052929085303186026,131,0.5572519083969466,60,0.5166666666666667,2020-02-20T14:30:00+00:00,2025-06-18T17:30:00+00:00
4da361215162fa,oos,base,51,0.5882352941176471,1.1727806077819718,0.0006158435975352873,0.030031737273684023,-0.03998984313823728,42,0.5238095238095238,351,0.06267806267806268,32,0.4375,12,0.5833333333333334,2025-08-01T14:00:00+00:00,2026-07-17T15:15:00+00:00
4da361215162fa,oos,stress,51,0.5882352941176471,0.8560633586677422,-0.0005841564024647123,-0.031119279815452927,-0.060663673433270504,42,0.5238095238095238,351,0.06267806267806268,32,0.4375,12,0.4166666666666667,2025-08-01T14:00:00+00:00,2026-07-17T15:15:00+00:00
6afb52531f2875,full,base,127,0.6614173228346457,0.5765322789078583,-0.0012616595309598824,-0.15068803386616814,-0.17577759827741768,124,0.6532258064516129,2375,0.034105263157894736,109,0.6146788990825688,64,0.484375,2020-01-09T02:00:00+00:00,2026-07-10T20:00:00+00:00
6afb52531f2875,pre,base,114,0.6491228070175439,0.5467622084300746,-0.001455651878333495,-0.15548645166742048,-0.17577759827741768,112,0.6428571428571429,1999,0.03601800900450225,98,0.6020408163265306,56,0.4642857142857143,2020-01-09T02:00:00+00:00,2025-06-29T07:00:00+00:00
6afb52531f2875,oos,base,13,0.7692307692307693,1.466528887887364,0.0004395041306241069,0.005681871902145863,-0.003774953796615743,12,0.75,349,0.025787965616045846,11,0.7272727272727273,8,0.625,2025-07-27T10:45:00+00:00,2026-07-10T20:00:00+00:00
6afb52531f2875,oos,stress,13,0.5384615384615384,0.42610014881769553,-0.0007604958693758929,-0.009887619774275103,-0.005071173934108608,12,0.5833333333333334,349,0.02005730659025788,11,0.5454545454545454,8,0.5,2025-07-27T10:45:00+00:00,2026-07-10T20:00:00+00:00
