candidate_id,period,entry_time,net_return
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-01 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-02 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-03 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-04 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-05 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-06 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-07 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-08 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-09 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-10 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-11 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-12 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-13 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-14 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-15 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-16 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-17 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-18 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-19 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-20 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-21 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-22 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-23 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-24 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-25 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-26 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-27 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-28 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-29 00:00:00+00:00,0.0
