candidate_id,symbol,timeframe,strategy,side,stop_atr,target_atr,max_hours,data_start,data_end,holdout_start,full_trades,full_win_rate,full_profit_factor,full_mean_bps,full_median_bps,full_total_return,full_max_drawdown,full_daily_sharpe,full_positive_week_rate,full_active_weeks,full_positive_month_rate,full_active_months,is_trades,is_win_rate,is_profit_factor,is_mean_bps,is_median_bps,is_total_return,is_max_drawdown,is_daily_sharpe,is_positive_week_rate,is_active_weeks,is_positive_month_rate,is_active_months,oos_trades,oos_win_rate,oos_profit_factor,oos_mean_bps,oos_median_bps,oos_total_return,oos_max_drawdown,oos_daily_sharpe,oos_positive_week_rate,oos_active_weeks,oos_positive_month_rate,oos_active_months,stress_trades,stress_win_rate,stress_profit_factor,stress_mean_bps,stress_median_bps,stress_total_return,stress_max_drawdown,stress_daily_sharpe,stress_positive_week_rate,stress_active_weeks,stress_positive_month_rate,stress_active_months,gate_trade_count,gate_pf,gate_expectancy,gate_stress,gate_months,gate_drawdown,gates_passed,baseline_pass
ETHUSDT_60m_SQUEEZE_BREAKOUT_LONG,ETHUSDT,60m,SQUEEZE_BREAKOUT,LONG,1.5,3.0,12.0,2020-01-01T00:00:00+00:00,2026-07-19T23:00:00+00:00,2025-07-19T23:55:00+00:00,357,0.4173669467787115,1.1433519412602164,11.173980861462399,-53.082875996605416,0.3870975787496551,-0.2667373985616387,0.4127933353749448,0.46218487394957986,238,0.5256410256410257,78,309,0.41423948220064727,1.0953074935784206,7.764863401204303,-57.26777051741426,0.19177139657910258,-0.2667373985616387,0.2849722341460941,0.4492753623188406,207,0.5151515151515151,66,48,0.4375,1.599315401620517,33.12017451187388,-17.172734745399932,0.16389567892904888,-0.07265582264812998,1.3188105250916364,0.53125,32,0.5384615384615384,13,357,0.4061624649859944,0.9902783663839209,-0.8260191385376024,-65.08287599660541,-0.09618994173262063,-0.4161601898987417,-0.030548577142873796,0.44537815126050423,238,0.46153846153846156,78,False,True,True,False,False,True,3,False
BTCUSDT_30m_SQUEEZE_BREAKOUT_LONG,BTCUSDT,30m,SQUEEZE_BREAKOUT,LONG,1.5,3.0,12.0,2020-01-01T00:00:00+00:00,2026-07-19T23:30:00+00:00,2025-07-19T23:55:00+00:00,627,0.3588516746411483,0.7544203417403066,-14.010772563535463,-58.32716854155117,-0.6018087412800504,-0.6254477352022261,-1.1877774671884356,0.3856655290102389,293,0.3670886075949367,79,546,0.34615384615384615,0.7265350079385339,-16.499738554801752,-61.06194083295852,-0.6095448191129824,-0.624903610242542,-1.3699759848503508,0.37751004016064255,249,0.3582089552238806,67,81,0.4444444444444444,1.07924034012264,2.7667018961113645,-31.847945971146473,0.019812972683209917,-0.05178264395286758,0.30579475291250535,0.4318181818181818,44,0.38461538461538464,13,627,0.3524720893141946,0.5983985956159622,-26.010772563535458,-70.32716854155116,-0.8126602992899187,-0.8112824737787164,-2.169877600560575,0.3447098976109215,293,0.2911392405063291,79,True,False,True,False,False,True,3,False
ETHUSDT_30m_SQUEEZE_BREAKOUT_LONG,ETHUSDT,30m,SQUEEZE_BREAKOUT,LONG,1.5,3.0,12.0,2020-01-01T00:00:00+00:00,2026-07-19T23:30:00+00:00,2025-07-19T23:55:00+00:00,683,0.363103953147877,0.9423141009563214,-3.908859847574343,-70.51818389269847,-0.2926713136907195,-0.5172207622216399,-0.26241619248027004,0.42424242424242425,297,0.35443037974683544,79,591,0.3587140439932318,0.9406884584738993,-4.125000875491202,-71.64722374815823,-0.27106840515936204,-0.5125597539958795,-0.2722578291327472,0.41434262948207173,251,0.34328358208955223,67,92,0.391304347826087,0.9552185659491896,-2.5203886791084447,-60.958531766257174,-0.029636400293610587,-0.08690328211242071,-0.20370622044168551,0.4782608695652174,46,0.4166666666666667,12,683,0.35871156661786235,0.7890954971363996,-15.908859847574341,-82.51818389269846,-0.6886578096721157,-0.734112778260663,-1.0605777124797422,0.40404040404040403,297,0.31645569620253167,79,True,False,False,False,False,True,2,False
BTCUSDT_15m_RANGE_BB_RSI_LONG,BTCUSDT,15m,RANGE_BB_RSI,LONG,1.2,1.2,4.0,2020-01-01T00:00:00+00:00,2026-07-19T23:45:00+00:00,2025-07-19T23:55:00+00:00,136,0.5808823529411765,0.8835245865767198,-2.8645768798400826,16.194916759060824,-0.04012907288027312,-0.06602823875915409,-0.23938345415598158,0.5462962962962963,108,0.5409836065573771,61,118,0.5847457627118644,0.880118998524424,-3.0754835413896937,17.004242823079675,-0.037446695337819746,-0.06602823875915409,-0.25084047894554273,0.5384615384615384,91,0.5306122448979592,49,18,0.5555555555555556,0.915991957720097,-1.4819665430148465,12.316437977894003,-0.002786731425118205,-0.01731152248933654,-0.17646527563299175,0.5882352941176471,17,0.5833333333333334,12,136,0.5294117647058824,0.5018098362748034,-14.86457687984008,4.194916759060826,-0.18478717868773864,-0.186635859713138,-1.1996047064483772,0.4722222222222222,108,0.47540983606557374,61,False,False,False,False,True,True,2,False
ETHUSDT_30m_SQUEEZE_BREAKOUT_SHORT,ETHUSDT,30m,SQUEEZE_BREAKOUT,SHORT,1.5,3.0,12.0,2020-01-01T00:00:00+00:00,2026-07-19T23:30:00+00:00,2025-07-19T23:55:00+00:00,677,0.34268833087149186,0.853402294487314,-11.185774950687643,-77.96392717104486,-0.5743648597793004,-0.6337383869270712,-0.6725636709949652,0.39344262295081966,305,0.3924050632911392,79,595,0.34285714285714286,0.86125325639388,-10.806227702029878,-78.4198501930735,-0.5195605994421755,-0.6337383869270712,-0.6427806486964521,0.38783269961977185,263,0.3880597014925373,67,82,0.34146341463414637,0.784956478090905,-13.939806815948263,-77.38916619580614,-0.11407111963234706,-0.14906999624099926,-1.0044055096300268,0.42857142857142855,42,0.38461538461538464,13,677,0.3353028064992615,0.7247612410391397,-23.185774950687637,-89.96392717104486,-0.811414220345553,-0.8172537900313231,-1.384893361305569,0.3540983606557377,305,0.3037974683544304,79,True,False,False,False,False,True,2,False
ETHUSDT_60m_SQUEEZE_BREAKOUT_SHORT,ETHUSDT,60m,SQUEEZE_BREAKOUT,SHORT,1.5,3.0,12.0,2020-01-01T00:00:00+00:00,2026-07-19T23:00:00+00:00,2025-07-19T23:55:00+00:00,359,0.36768802228412256,0.9102950652570883,-8.23692572394625,-83.98888721160691,-0.3160917176196556,-0.47264164275527865,-0.2807141910516933,0.40611353711790393,229,0.4050632911392405,79,309,0.37540453074433655,0.9464629285132896,-4.9733028380057,-83.98888721160691,-0.20653238468309665,-0.4035060788654087,-0.16528241565689258,0.41,200,0.417910447761194,67,50,0.32,0.6665819833514169,-28.40611515905886,-83.79556068106967,-0.13807662823491806,-0.14787635020746148,-1.2682654322079983,0.3793103448275862,29,0.3076923076923077,13,359,0.3593314763231198,0.7965998287358679,-20.236925723946243,-95.9888872116069,-0.5558292274891893,-0.6109597556332802,-0.6867527329894768,0.3930131004366812,229,0.3924050632911392,79,True,False,False,False,False,True,2,False
BTCUSDT_60m_SQUEEZE_BREAKOUT_SHORT,BTCUSDT,60m,SQUEEZE_BREAKOUT,SHORT,1.5,3.0,12.0,2020-01-01T00:00:00+00:00,2026-07-19T23:00:00+00:00,2025-07-19T23:55:00+00:00,324,0.3950617283950617,1.0218592134295355,1.5368538315696447,-69.49520056521295,0.0004063564954781551,-0.24813883685941907,0.061975948812381526,0.45794392523364486,214,0.41025641025641024,78,271,0.4132841328413284,1.0865177189780837,6.16084585177057,-68.77236950927922,0.12931259651490157,-0.24813883685941907,0.23643983651829975,0.47282608695652173,184,0.42424242424242425,66,53,0.3018867924528302,0.6634918313913999,-22.106577064174694,-70.2180316211467,-0.11414575593793297,-0.14900516077434456,-1.341378262351129,0.36666666666666664,30,0.3333333333333333,12,324,0.37962962962962965,0.8653410165410473,-10.46314616843035,-81.49520056521295,-0.32205243189338695,-0.3471857975410859,-0.4212908073609794,0.42990654205607476,214,0.3974358974358974,78,True,False,False,False,False,True,2,False
ETHUSDT_5m_RANGE_BB_RSI_LONG,ETHUSDT,5m,RANGE_BB_RSI,LONG,1.2,1.2,4.0,2020-01-01T00:00:00+00:00,2026-07-19T23:55:00+00:00,2025-07-19T23:55:00+00:00,439,0.48519362186788156,0.50136730527357,-11.979922504274647,-5.4140935779236505,-0.41153379584710237,-0.41219440388453477,-2.0236475610754554,0.36885245901639346,244,0.22784810126582278,79,377,0.4854111405835544,0.49808256642494625,-12.422459687365977,-6.791377745078086,-0.37640918089775177,-0.3787909098465877,-2.031960268760948,0.3671497584541063,207,0.22388059701492538,67,62,0.4838709677419355,0.5265625707644679,-9.289010923219307,-4.5654035084565665,-0.056326382418390275,-0.05864140245428051,-2.193394890271445,0.3783783783783784,37,0.25,12,439,0.35990888382687924,0.2239220085037204,-23.979922504274647,-17.414093577923648,-0.6528486318174178,-0.6526076895517221,-3.6872278337580306,0.27049180327868855,244,0.10126582278481013,79,True,False,False,False,False,True,2,False
BTCUSDT_5m_RANGE_BB_RSI_SHORT,BTCUSDT,5m,RANGE_BB_RSI,SHORT,1.2,1.2,4.0,2020-01-01T00:00:00+00:00,2026-07-19T23:55:00+00:00,2025-07-19T23:55:00+00:00,531,0.4086629001883239,0.355734632408825,-12.13840185304148,-10.734514408232908,-0.4766448051242309,-0.4759551643148674,-3.590566207326118,0.311787072243346,263,0.11392405063291139,79,451,0.41019955654101997,0.35933976924559896,-12.764935416849347,-17.222682474628204,-0.43924293724613306,-0.4385040108756675,-3.6023318077658706,0.2986425339366516,221,0.1044776119402985,67,80,0.4,0.3239236197823535,-8.606318887074623,-4.644659124544914,-0.06669887971525157,-0.06718413545754198,-3.8916083455496215,0.37209302325581395,43,0.15384615384615385,13,531,0.2015065913370998,0.11002395341557174,-24.138401853041483,-22.734514408232908,-0.7235869580337855,-0.7226206949126044,-5.8810842456950345,0.12927756653992395,263,0.02531645569620253,79,True,False,False,False,False,True,2,False
ETHUSDT_5m_RANGE_BB_RSI_SHORT,ETHUSDT,5m,RANGE_BB_RSI,SHORT,1.2,1.2,4.0,2020-01-01T00:00:00+00:00,2026-07-19T23:55:00+00:00,2025-07-19T23:55:00+00:00,615,0.45691056910569106,0.4560237919778977,-13.022419025690807,-23.461675194817108,-0.5535093603822161,-0.5564141755457543,-2.9149911634661616,0.33211678832116787,274,0.13924050632911392,79,544,0.46139705882352944,0.4763466656616482,-12.656795398092239,-22.025804794203673,-0.5002264064158111,-0.5034778741604029,-2.8190686518047916,0.3347457627118644,236,0.14925373134328357,67,71,0.4225352112676056,0.28626550128731315,-15.82381696109392,-26.951107310332553,-0.10661418420345004,-0.10290718463690851,-4.044694422279745,0.3076923076923077,39,0.07692307692307693,13,615,0.3154471544715447,0.19879175437282873,-25.02241902569081,-35.46167519481711,-0.7868491911398904,-0.7867787930198145,-5.049279575950967,0.17518248175182483,274,0.05063291139240506,79,True,False,False,False,False,True,2,False
