config_id,period,active_periods,positive_rate,mean_return,median_return,compounded_return,best_period,worst_period
5a7e13fb54ab58,daily,11,0.7272727272727273,0.0019819862366926163,0.004828043784209424,0.021849099519728465,0.00928010371068444,-0.0072524105289983876
5a7e13fb54ab58,weekly,11,0.7272727272727273,0.0019819862366926163,0.004828043784209424,0.021849099519728465,0.00928010371068444,-0.0072524105289983876
5a7e13fb54ab58,monthly,8,0.625,0.0027332882830012756,0.004311565173495846,0.021849099519728243,0.015124760373888213,-0.0072524105289983876
cbde2d587cfa6e,daily,22,0.7272727272727273,0.0021744704442667236,0.005590640279346526,0.047856934792098293,0.013425154297314057,-0.01753709260598002
cbde2d587cfa6e,weekly,21,0.7142857142857143,0.0022799868020963584,0.005514305093117677,0.047856934792098293,0.013425154297314057,-0.01753709260598002
cbde2d587cfa6e,monthly,10,0.7,0.004796854903854087,0.008940747760688428,0.04785693479209874,0.02230434015866889,-0.023464885890259857
ed8222bb6d76c1,daily,15,0.7333333333333333,0.001490792673928724,0.002889410111208246,0.022385240162591913,0.00928010371068444,-0.0072524105289983876
ed8222bb6d76c1,weekly,14,0.7142857142857143,0.0015960334875149537,0.003287230110207817,0.022385240162591913,0.00928010371068444,-0.0072524105289983876
ed8222bb6d76c1,monthly,9,0.6666666666666666,0.002492594675739701,0.003690740179569163,0.022385240162591913,0.015124760373888213,-0.012441073579684492
fafa70f12d0d1c,daily,26,0.8076923076923077,0.0010411399325824416,0.004741859594087017,0.0259607050754882,0.010682937866567599,-0.028132098928659865
fafa70f12d0d1c,weekly,24,0.7916666666666666,0.0011294793372437818,0.00596653638898792,0.025960705075487978,0.010682937866567599,-0.028132098928659865
fafa70f12d0d1c,monthly,10,0.6,0.0026803541788041896,0.008510726110693922,0.025960705075488866,0.02277946888176774,-0.024496373943799554
869e31fc2f22a3,daily,29,0.7241379310344828,0.0014253243370665968,0.003622480876474432,0.04104586227968299,0.01368735412560107,-0.0160114529996066
869e31fc2f22a3,weekly,22,0.6818181818181818,0.0018758378333515206,0.004198974898599661,0.04104586227968299,0.01714681299258025,-0.0160114529996066
