ensemble_id,size,members,pre_ensemble_score,pre_active_days,pre_positive_active_day_rate,pre_positive_calendar_day_rate,pre_total_return,pre_max_dd,pre_daily_sharpe,oos_active_days,oos_positive_active_day_rate,oos_positive_calendar_day_rate,oos_total_return,oos_max_dd,oos_daily_sharpe,stress_active_days,stress_positive_active_day_rate,stress_positive_calendar_day_rate,stress_total_return,stress_max_dd,stress_daily_sharpe
21e7316028b38e+15b42e1c7c94d5,2,"[""21e7316028b38e"", ""15b42e1c7c94d5""]",0.6021162510542952,297,0.8114478114478114,0.14509331727874775,0.22189063810715148,-0.07727307548362439,0.9505933704410796,71,0.6197183098591549,0.12716763005780346,-0.10751507165645491,-0.11246351500313456,-2.116640916783616,71,0.5915492957746479,0.12138728323699421,-0.16151838374451621,-0.16416284886974308,-3.1523824997027434
405487b728a4e1+15b42e1c7c94d5,2,"[""405487b728a4e1"", ""15b42e1c7c94d5""]",0.5957116101531693,299,0.8127090301003345,0.14629741119807346,0.2057910336721045,-0.08123087221611902,0.874166360613962,71,0.6056338028169014,0.12427745664739884,-0.11848161115176525,-0.12237605284190756,-2.31446252249057,71,0.5774647887323944,0.11849710982658959,-0.16986097872658112,-0.1720400535185196,-3.3086585483394217
1ad3e7a606da5d+15b42e1c7c94d5,2,"[""1ad3e7a606da5d"", ""15b42e1c7c94d5""]",0.5806063354995308,268,0.8097014925373134,0.13064419024683926,0.17322651586706939,-0.088288883995288,0.7715487980454659,67,0.6417910447761194,0.12427745664739884,-0.08161000185005818,-0.09007317709959006,-1.66391090409985,67,0.6119402985074627,0.11849710982658959,-0.13149329559681955,-0.1363720032493727,-2.696694966039356
bf4188ea621241+15b42e1c7c94d5,2,"[""bf4188ea621241"", ""15b42e1c7c94d5""]",0.580548262247102,268,0.8097014925373134,0.13064419024683926,0.1730806028126386,-0.08840227263072609,0.7709690387523241,67,0.6417910447761194,0.12427745664739884,-0.08161000185005818,-0.09007317709959006,-1.66391090409985,67,0.6119402985074627,0.11849710982658959,-0.13149329559681955,-0.1363720032493727,-2.696694966039356
edb810a0c21c24+15b42e1c7c94d5,2,"[""edb810a0c21c24"", ""15b42e1c7c94d5""]",0.576253813050438,278,0.8057553956834532,0.13485851896447923,0.16797052364027554,-0.0818944264377296,0.7436632724222222,71,0.6197183098591549,0.12716763005780346,-0.1153036146865345,-0.1295464459799175,-2.1573011804723228,71,0.5774647887323944,0.11849710982658959,-0.16935233515074555,-0.1744564049717241,-3.1671258832857783
b6123eaefccbb1+15b42e1c7c94d5,2,"[""b6123eaefccbb1"", ""15b42e1c7c94d5""]",0.572463227400502,270,0.8074074074074075,0.1312462372065021,0.1573772746707831,-0.08767922303801734,0.7012549321067185,67,0.6417910447761194,0.12427745664739884,-0.07919710474801622,-0.08768251539980088,-1.5992913020559827,67,0.6119402985074627,0.11849710982658959,-0.12973781357277547,-0.13462638238534197,-2.645398698627538
0fe0e359b51977+15b42e1c7c94d5,2,"[""0fe0e359b51977"", ""15b42e1c7c94d5""]",0.572463227400502,270,0.8074074074074075,0.1312462372065021,0.1573772746707831,-0.08767922303801734,0.7012549321067185,67,0.6417910447761194,0.12427745664739884,-0.07919710474801622,-0.08768251539980088,-1.5992913020559827,67,0.6119402985074627,0.11849710982658959,-0.12973781357277547,-0.13462638238534197,-2.645398698627538
d562de3794dccc+15b42e1c7c94d5,2,"[""d562de3794dccc"", ""15b42e1c7c94d5""]",0.5711397832219425,276,0.8079710144927537,0.13425647200481639,0.15321201370749282,-0.08695340771934357,0.6786333647309128,69,0.6231884057971014,0.12427745664739884,-0.10418638424600546,-0.11422361477477061,-2.0532718328775066,69,0.5942028985507246,0.11849710982658959,-0.15687944056601444,-0.1620601524188967,-3.071000124378536
72f8d99cd2414c+15b42e1c7c94d5,2,"[""72f8d99cd2414c"", ""15b42e1c7c94d5""]",0.5538119046762048,275,0.8218181818181818,0.13606261288380495,0.08571920565015612,-0.08529406806908835,0.423195774502792,68,0.6617647058823529,0.13005780346820808,-0.10661185083464653,-0.11318529590311277,-2.188541509581051,68,0.5735294117647058,0.11271676300578035,-0.15665622939649415,-0.160348484160447,-3.198551652208065
ecaa46228799b5+15b42e1c7c94d5,2,"[""ecaa46228799b5"", ""15b42e1c7c94d5""]",0.5515218009891535,249,0.7951807228915663,0.11920529801324503,0.1282631887925103,-0.09373576439034981,0.5827500489730129,70,0.6714285714285714,0.13583815028901733,-0.08288896746916952,-0.09226772620210177,-1.6470360251921166,70,0.6571428571428571,0.1329479768786127,-0.1316658903011506,-0.13744942087924916,-2.645929074284148
f5004f305e4279+15b42e1c7c94d5,2,"[""f5004f305e4279"", ""15b42e1c7c94d5""]",0.5479890149451834,239,0.799163179916318,0.11499096929560505,0.10934373747699855,-0.07083739717036242,0.5374411713780254,63,0.6507936507936508,0.11849710982658959,-0.08646370418784899,-0.09431386591182944,-1.8770934342141479,63,0.6349206349206349,0.11560693641618497,-0.12982276512414792,-0.13471085673396876,-2.793133319175085
30a747c3112b7d+15b42e1c7c94d5,2,"[""30a747c3112b7d"", ""15b42e1c7c94d5""]",0.5423410113819623,252,0.8015873015873016,0.12161348585189645,0.09728789164899809,-0.09163170753250649,0.44557091182529357,68,0.6617647058823529,0.13005780346820808,-0.0900665353916501,-0.09884220913371422,-1.8531442138618337,68,0.6470588235294118,0.12716763005780346,-0.13792665688407657,-0.1431645536391012,-2.83186661700417
2252a8c651d812+15b42e1c7c94d5,2,"[""2252a8c651d812"", ""15b42e1c7c94d5""]",0.5390982339858127,252,0.7936507936507936,0.12040939193257075,0.10236600608554247,-0.09373576439034936,0.4614633119586224,70,0.6714285714285714,0.13583815028901733,-0.07997232920459674,-0.09076851233591843,-1.5910690851854272,70,0.6571428571428571,0.1329479768786127,-0.12994533054888147,-0.1365384229034191,-2.6159126121305554
172475563f81d6+15b42e1c7c94d5,2,"[""172475563f81d6"", ""15b42e1c7c94d5""]",0.5378664820352338,252,0.7976190476190477,0.12101143889223359,0.09238886409407177,-0.09223522271799867,0.4253926829408408,68,0.6617647058823529,0.13005780346820808,-0.08277742923897935,-0.091623401326972,-1.756373540249968,68,0.6470588235294118,0.12716763005780346,-0.13101672723098545,-0.13629660823061807,-2.772444826579784
a53a2187314b9e+15b42e1c7c94d5,2,"[""a53a2187314b9e"", ""15b42e1c7c94d5""]",0.5335210087577521,252,0.7936507936507936,0.12040939193257075,0.0893275903611499,-0.0921395038127768,0.4044848632170044,70,0.6714285714285714,0.13583815028901733,-0.08221863350130221,-0.09298845708570402,-1.6255403231678047,70,0.6571428571428571,0.1329479768786127,-0.13207090826592793,-0.13864789343698924,-2.641429688921659
282ecffd985158+15b42e1c7c94d5,2,"[""282ecffd985158"", ""15b42e1c7c94d5""]",0.529326060502645,276,0.7753623188405797,0.1288380493678507,0.09988188681601096,-0.11854167546926864,0.46393030815357966,71,0.5492957746478874,0.11271676300578035,-0.10261908991434099,-0.11199500710012822,-2.1926479170452806,71,0.5070422535211268,0.10404624277456648,-0.15742086805408817,-0.16259825300457964,-3.3146250588056203
6df832219b2049+15b42e1c7c94d5,2,"[""6df832219b2049"", ""15b42e1c7c94d5""]",0.5283669342996765,236,0.7796610169491526,0.11077664057796509,0.08913560803327636,-0.07899060464644125,0.467203563202168,63,0.6031746031746031,0.10982658959537572,-0.10610070842652142,-0.11378212627053264,-2.451133759924103,63,0.5873015873015873,0.1069364161849711,-0.14853024482889576,-0.15331324994493045,-3.3526092774356697
18ce2a155c86c1+15b42e1c7c94d5,2,"[""18ce2a155c86c1"", ""15b42e1c7c94d5""]",0.5266725812743747,253,0.7865612648221344,0.11980734497290789,0.08292276233428209,-0.09274268162105215,0.3796325920230625,70,0.6714285714285714,0.13583815028901733,-0.07231253157388196,-0.08319859958649045,-1.4816573086215286,70,0.6571428571428571,0.1329479768786127,-0.12269717134462066,-0.12934518873400036,-2.5451766513765985
9ebb3ba0b8146a+15b42e1c7c94d5,2,"[""9ebb3ba0b8146a"", ""15b42e1c7c94d5""]",0.518956675499462,251,0.7768924302788844,0.11739915713425647,0.07459095820926298,-0.09538370901706394,0.3700299725475544,68,0.6176470588235294,0.12138728323699421,-0.10718203268137316,-0.11579263938723106,-2.3905499673390906,68,0.6029411764705882,0.11849710982658959,-0.15413760403429166,-0.15927700421921342,-3.373235615528438
