time,open,high,low,close,volume
2026-07-01 09:00:00,1995.3,2000.8,1995.3,2000.8,17
2026-07-01 09:20:00,2001.0,2001.0,2001.0,2001.0,6
2026-07-01 09:25:00,2006.5,2008.4,2006.5,2007.5,22
2026-07-01 09:30:00,2008.0,2009.0,2007.0,2007.0,34
2026-07-01 09:35:00,2007.0,2007.8,2007.0,2007.3,24
2026-07-01 09:40:00,2007.0,2007.0,2007.0,2007.0,8
2026-07-01 09:45:00,2007.3,2008.1,2007.3,2008.0,35
2026-07-01 09:50:00,2008.7,2009.3,2008.7,2009.2,14
2026-07-01 09:55:00,2008.5,2008.5,2008.2,2008.2,11
2026-07-01 10:05:00,2007.2,2007.2,2007.0,2007.0,12
2026-07-01 10:10:00,2008.0,2008.0,2008.0,2008.0,1
2026-07-01 10:15:00,2008.9,2009.0,2008.9,2009.0,5
2026-07-01 10:20:00,2010.0,2012.3,2010.0,2011.1,30
2026-07-01 10:25:00,2011.1,2012.3,2009.1,2011.2,12
2026-07-01 10:30:00,2011.5,2011.5,2011.5,2011.5,2
2026-07-01 10:35:00,2012.5,2014.0,2012.5,2014.0,5
2026-07-01 10:40:00,2015.0,2015.0,2013.5,2013.5,11
2026-07-01 10:45:00,2013.5,2013.5,2013.2,2013.2,5
2026-07-01 10:50:00,2013.2,2013.2,2013.0,2013.0,12
2026-07-01 10:55:00,2013.2,2013.2,2013.2,2013.2,1
2026-07-01 11:05:00,2013.5,2013.7,2013.5,2013.7,2
2026-07-01 11:10:00,2013.3,2013.3,2013.3,2013.3,1
2026-07-01 11:20:00,2013.3,2013.3,2013.3,2013.3,1
2026-07-01 13:00:00,2014.9,2016.0,2014.9,2016.0,7
2026-07-01 13:10:00,2015.0,2015.2,2015.0,2015.2,5
2026-07-01 13:20:00,2014.4,2014.4,2014.4,2014.4,1
2026-07-01 13:25:00,2015.0,2015.0,2015.0,2015.0,1
2026-07-01 13:30:00,2012.3,2012.7,2012.3,2012.7,5
2026-07-01 13:35:00,2012.7,2012.7,2012.1,2012.1,16
2026-07-01 13:40:00,2011.6,2011.6,2011.6,2011.6,5
2026-07-01 13:45:00,2011.1,2012.7,2011.1,2012.5,7
2026-07-01 13:50:00,2011.8,2013.0,2011.6,2013.0,14
2026-07-01 13:55:00,2013.2,2013.2,2012.2,2012.4,6
2026-07-01 14:00:00,2012.4,2012.4,2012.0,2012.2,5
2026-07-01 14:05:00,2012.3,2012.3,2011.9,2012.1,17
2026-07-01 14:10:00,2013.0,2013.0,2013.0,2013.0,2
2026-07-01 14:15:00,2014.7,2015.3,2014.7,2015.3,3
2026-07-01 14:20:00,2014.0,2014.0,2014.0,2014.0,10
2026-07-01 14:25:00,2014.3,2014.3,2014.3,2014.3,5
2026-07-01 14:45:00,2011.5,2011.5,2011.5,2011.5,7
2026-07-02 09:00:00,2012.1,2015.1,2012.1,2015.1,3
2026-07-02 09:05:00,2017.0,2017.1,2017.0,2017.1,3
2026-07-02 09:10:00,2017.4,2017.5,2017.4,2017.4,3
2026-07-02 09:15:00,2018.2,2018.7,2017.2,2018.2,21
2026-07-02 09:20:00,2019.0,2022.8,2019.0,2022.5,10
2026-07-02 09:25:00,2021.8,2021.8,2020.0,2020.0,3
2026-07-02 09:30:00,2021.2,2021.2,2021.2,2021.2,2
2026-07-02 09:35:00,2018.3,2018.3,2017.3,2017.3,12
2026-07-02 09:40:00,2017.0,2017.0,2015.0,2015.6,19
2026-07-02 09:45:00,2016.2,2016.2,2015.2,2015.2,4
2026-07-02 09:50:00,2015.5,2015.6,2015.3,2015.5,10
2026-07-02 09:55:00,2015.7,2016.1,2015.7,2016.1,2
